time_control,moves,date,time_format,colour,my_rating,opponent_rating,opponent,outcome,my_accuracy,opponent_accuracy
10+0,62,2020-12-06,Rapid,White,557,356,methburger682,W,42.3,57.6
10+0,40,2020-12-09,Rapid,Black,643,438,JimenaGallardo,W,64.7,77.7
10+0,25,2020-12-09,Rapid,Black,531,577,DanielBrown1974,L,58.3,76.4
10+0,64,2020-12-09,Rapid,White,625,615,RRR0007,W,81.4,77.5
10+0,12,2020-12-10,Rapid,White,564,639,prune131,L,31.6,55.5
10+0,24,2020-12-10,Rapid,White,528,735,aksoysercann,L,62.7,77.2
10+0,23,2020-12-10,Rapid,Black,484,568,Pablo2007sep,L,71.1,86.5
10+0,48,2020-12-10,Rapid,Black,444,512,biggoatepi,L,34.3,40.3
10+0,48,2020-12-10,Rapid,White,481,425,iHothead,W,67.4,56.8
10+0,51,2020-12-10,Rapid,Black,511,427,Thien0109,W,34.7,13.5
10+0,30,2020-12-11,Rapid,White,484,589,billek51,L,26.6,43.5
10+0,45,2020-12-12,Rapid,White,520,553,Brotha700,W,18.7,9.4
10+0,30,2020-12-19,Rapid,White,564,769,mugman47,W,72.3,62.9
30+0,18,2020-12-19,Rapid,Black,597,598,mugman47,W,52.6,53.2
10+0,25,2020-12-19,Rapid,Black,562,486,med443,L,61.8,63.9
15+10,36,2020-12-22,Rapid,Black,545,679,Alan_Jernigan,L,17.5,38.3
15+10,47,2020-12-22,Rapid,White,539,458,slaveking90,D,79.5,71.3
10+0,32,2020-12-25,Rapid,Black,538,1277,kobzzone,L,72.2,82.8
10+0,32,2020-12-25,Rapid,White,576,794,PawnEPandR,W,65.2,58.7
10+0,12,2020-12-25,Rapid,Black,555,584,abigsillyman,L,64.3,94.0
10+0,42,2020-12-25,Rapid,White,538,611,harkyto,L,79.3,72.4
10+0,31,2020-12-25,Rapid,Black,555,483,PratapOp,W,70.0,54.0
10+0,37,2020-12-26,Rapid,White,539,596,jaemoony,L,51.8,55.3
10+0,35,2020-12-26,Rapid,White,556,530,jimjamaua1,W,33.9,6.8
10+0,28,2020-12-26,Rapid,Black,572,543,menthealeau,W,32.6,35.5
10+0,48,2020-12-26,Rapid,Black,587,557,8t89,W,75.2,29.2
10+0,43,2020-12-26,Rapid,Black,604,622,PROMEK312,W,61.0,51.3
10+0,39,2020-12-27,Rapid,White,620,634,sickcamp,W,54.7,47.8
