,Unnamed: 0,Players,Result,Accuracy,Moves,Date,Unnamed: 6,game_link
0,10 min,Waddaddy  (1602)  zainsiddiqii  (1569),1  0,67.9  63.7,33,"Apr 27, 2023",,https://www.chess.com/game/live/76347674333
1,10 min,zainsiddiqii  (1577)  Gaia_35  (1512),1  0,63.6  49.8,24,"Apr 27, 2023",,https://www.chess.com/game/live/76341717831
2,10 min,parez29  (1591)  zainsiddiqii  (1570),½  ½,67.5  68,54,"Apr 27, 2023",,https://www.chess.com/game/live/76340982339
3,10 min,zainsiddiqii  (1569)  Brunon42  (1559),1  0,76  59.5,20,"Apr 27, 2023",,https://www.chess.com/game/live/76323785953
4,10 min,leivinha  (1513)  zainsiddiqii  (1561),0  1,69.9  80.2,35,"Apr 27, 2023",,https://www.chess.com/game/live/76323114917
5,10 min,Alaska44  (1496)  zainsiddiqii  (1554),0  1,76  87.9,52,"Apr 27, 2023",,https://www.chess.com/game/live/76322396667
6,10 min,a_Dying_Wish  (1542)  zainsiddiqii  (1547),0  1,77.7  78.4,62,"Apr 26, 2023",,https://www.chess.com/game/live/76247638543
7,10 min,zainsiddiqii  (1539)  amp1342  (1510),0  1,60.4  69.1,42,"Apr 26, 2023",,https://www.chess.com/game/live/76230607953
8,10 min,JM_Aspire  (1517)  zainsiddiqii  (1548),1  0,91.1  82,24,"Apr 26, 2023",,https://www.chess.com/game/live/76230063033
9,10 min,Tricadier  (1558)  zainsiddiqii  (1557),1  0,73.2  69.5,38,"Apr 25, 2023",,https://www.chess.com/game/live/76183932501
10,10 min,zainsiddiqii  (1565)  OnthewaytoGM  (1542),1  0,75.9  74.1,47,"Apr 25, 2023",,https://www.chess.com/game/live/76173037325
11,10 min,zainsiddiqii  (1557)  SandiGrguric  (1609),0  1,86.3  88.5,14,"Apr 25, 2023",,https://www.chess.com/game/live/76169042219
12,10 min,zainsiddiqii  (1564)  Pooyasol  (1552),0  1,66  75.5,56,"Apr 25, 2023",,https://www.chess.com/game/live/76167064521
